iata_code,latitude,longitude,country
MAN,53.3537,-2.275,UK
ARN,59.6519,17.9186,Sweden
AAE,36.8222007751,7.8091697693,DZ
ABJ,5.2613902092,-3.9262900352,CI
ACC,5.6051898003,-0.1667860001,GH
ADB,38.2924003601,27.156999588,TR
ADL,-34.9449996948,138.5310058594,AU
AKL,-37.0080986023,174.7920074463,NZ
ALA,43.3521003723,77.0404968262,KZ
ALG,36.6910018921,3.2154099941,DZ
AMD,23.0771999359,72.6346969604,IN
AMM,31.7226009369,35.9931983948,JO
AMS,52.3086013794,4.7638897896,NL
ANC,61.1744003296,-149.9960021973,US
ARI,-18.3484992981,-70.3386993408,CL
ARU,-21.1413002014,-50.4247016907,BR
ASK,6.9031701088,-5.3655800819,CI
ASU,-25.2399997711,-57.5200004578,PY
ATH,37.9364013672,23.9444999695,GR
ATL,33.6366996765,-84.4281005859,US
AUS,30.1944999695,-97.6698989868,US
BAH,26.2707996368,50.6335983276,BH
BAQ,10.8896,-74.7808,CO
BBI,20.2444000244,85.8178024292,IN
BCN,41.2971000671,2.0784599781,ES
BEG,44.8184013367,20.3090991974,RS
BEL,-1.3792500496,-48.4762992859,BR
BEY,33.8208999634,35.4883995056,LB
BGI,13.0746002197,-59.4925003052,BB
BGR,44.8073997498,-68.8281021118,US
BGW,33.2625007629,44.2346000671,IQ
BKK,13.6810998917,100.7470016479,TH
BLR,13.1978998184,77.7062988281,IN
BNA,36.1245002747,-86.6781997681,US
BNE,-27.3841991425,153.1170043945,AU
BNU,-26.8306007385,-49.0903015137,BR
BOD,44.8283004761,-0.7155560255,FR
BOG,4.70159,-74.1469,CO
BOM,19.0886993408,72.8678970337,IN
BOS,42.36429977,-71.00520325,US
BRU,50.9014015198,4.4844398499,BE
BSB,-15.8691673279,-47.9208335876,BR
BSR,30.5491008759,47.6621017456,IQ
BTS,48.1702003479,17.2126998901,SK
BUD,47.4369010925,19.2555999756,HU
BUF,42.94049835,-78.73220062,US
BWN,4.9442000389,114.9280014038,BN
CAI,30.1219005585,31.4055995941,EG
CAW,-21.698299408,-41.301700592,BR
CBR,-35.3069000244,149.1950073242,AU
CCU,22.6546993256,88.4467010498,IN
CDG,49.0127983093,2.5499999523,FR
CEB,10.3074998856,123.9789962769,PH
CGB,-15.6528997421,-56.1166992188,BR
CGK,-6.1255698204,106.65599823,ID
CGY,8.4156198502,124.611000061,PH
CHC,-43.4893989563,172.5319976807,NZ
CLT,35.2140007019,-80.9430999756,US
CMB,7.1807599068,79.8841018677,LK
CMH,39.9980010986,-82.8918991089,US
CMN,33.3675003052,-7.5899701118,MA
CNF,-19.6244430542,-43.9719429016,BR
CNN,56.913898468,124.9140014648,RU
CNX,18.7667999268,98.962600708,TH
COK,10.1520004272,76.4019012451,IN
COR,-31.323600769,-64.2080001831,AR
CPH,55.6179008484,12.6560001373,DK
CPT,-33.9648017883,18.6016998291,ZA
CWB,-25.5284996033,-49.1758003235,BR
DAC,23.843347,90.397783,BD
DAD,16.0438995361,108.1989974976,VN
DAR,-6.8781099319,39.2025985718,TZ
DEL,28.5664997101,77.1031036377,IN
DEN,39.8616981506,-104.672996521,US
DFW,32.8968009949,-97.0380020142,US
DKR,14.7397003174,-17.4902000427,SN
DME,55.4087982178,37.9062995911,RU
DMM,26.471200943,49.7979011536,SA
DOH,25.2605946,51.6137665,QA
DTW,42.2123985291,-83.3534011841,US
DUB,53.4212989807,-6.270070076,IE
DUR,-29.6144444444,31.1197222222,ZA
DUS,51.2895011902,6.7667798996,DE
DXB,25.2527999878,55.3643989563,AE
EBB,0.0423859991,32.4435005188,UG
EBL,36.2375984192,43.9631996155,IQ
EDI,55.9500007629,-3.3724999428,GB
EVN,40.1473007202,44.3959007263,AM
EWR,40.6925010681,-74.1687011719,US
EZE,-34.8222,-58.5358,AR
FCO,41.8045005798,12.2508001328,IT
FLN,-27.6702785492,-48.5525016785,BR
FOR,-3.7762799263,-38.5326004028,BR
FRA,50.0264015198,8.543129921,DE
FSD,43.5820007324,-96.741897583,US
FUK,33.585899353,130.4510040283,JP
GBE,-24.5552005768,25.9181995392,BW
GDL,20.5217990875,-103.3109970093,MX
